"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"PLAC9",0.733027708005121,0.0239031458675584,0.0473284162199285,0.29250221011339,0.171997416974468,0.971172304510508,TRUE
"HOXA11-AS",-0.680558444583507,0.0179386128703247,0.0374309833136918,0.206870383380398,0.337591183983689,0.970999530671555,TRUE
"ZNF589",-0.52627798933755,0.00556045993213741,0.0143003478193615,0.0983228537651836,0.146007527455831,0.970800482010756,TRUE
"SNRPC",-0.315774118012266,0.000129405335891536,0.00084302624882392,0.361652553989697,0.452588256110695,0.970739816157116,FALSE
"CNOT3",-0.344737316800134,0.000304798916702945,0.00153800132693964,0.228276859894632,0.292592487224271,0.969760995781606,FALSE
"KLHDC4",-0.486314960236735,0.00363882622462475,0.0101489294647044,0.106168667189743,0.152736284820589,0.969507664552564,FALSE
"PPP2R5A",-0.384710527533747,0.000757881069919366,0.00303412730580929,0.178902226047163,0.236630330079948,0.968688105519645,FALSE
"ATP5F1A",-0.322181918104291,0.000160981339659184,0.000985596056507321,0.977688244108218,1.22482753768889,0.968575836381937,FALSE
"DTWD2",-0.444964337484944,0.00213926139573542,0.00666726201760157,0.0219986550986147,0.0335591441267562,0.968265748824605,FALSE
"PLEKHG2",0.47829283924207,0.00333617930475641,0.00947042431715509,0.11102950218813,0.0768781882603704,0.967888007188547,FALSE
